,Participant,"('Albert Einstein was the Da Vinci of Rationality.', 'Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate')","('Albert Einstein was the Karl Liebknecht of physicists', 'Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec')","('Albert Einstein was the Willy Brandt of physicists', 'Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec')","('Albert Einstein was the Leonard Bernstein of physicists', 'Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate')","('Albert Einstein was the Robert Edwards of physicists', 'Q567_we_cosine_word2vec_projec')","('Albert Einstein was the Robbie Williams of physicists', 'ChatGPT')","('Albert Einstein was the Boris Becker of physicists', 'Q567_kge_cosine_data_transe_wikidata5mpkl_projec')","('Angela Merkel is the Joshua Bassett of politicians', 'Q567_we_euclidean_word2vec_translate')","('Angela Merkel is the Philip Seymour Hoffman of politicians', 'Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec')","('Angela Merkel is the Julian Assange of politicians', 'Q567_kge_euclidean_data_transe_wikidata5mpkl_translate')","('Angela Merkel is the Milton Friedman of politicians', 'Q937_kge_euclidean_data_transe_wikidata5mpkl_translate')","('Angela Merkel is the Erwin Rommel of politicians', 'ChatGPT')","('Angela Merkel is the Martin Niemöller of politicians', 'Q937_we_euclidean_word2vec_translate')","('Angela Merkel is the Thatcher of Resolute Statesmanship.', 'Q9960_kge_cosine_data_transe_wikidata5mpkl_projec')","('Ronald Reagan was the Thatcher of American Presidency.', 'Q9960_we_cosine_word2vec_projec')","('Ronald Reagan was the Charles Manson of television actors', 'Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate')","('Ronald Reagan was the Melania Trump of television actors', 'Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate')","('Ronald Reagan was the Charles Manson of television actors', 'ChatGPT')","('Ronald Reagan was the Leonard Bernstein of television actors', 'Q937_we_cosine_word2vec_projec')","('Ronald Reagan was the Robert Edwards of television actors', 'Q937_kge_cosine_data_transe_wikidata5mpkl_projec')","('Ronald Reagan was the Milton Friedman of television actors', 'Q9960_we_euclidean_word2vec_translate')"
0,dfe20bb6-a126-45fe-928f-ad733c120e04,2,3,2,3,3,2,3,3,2,1,3,1,3,2,2,2,3,2,3,3,3
